iShares Russell 3000 ETF
Fund Holdings as of,"Jul 24, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","31,263,799.32","0.16","31,263,799.32","108,082.00","289.26","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","30,975,798.75","0.16","30,975,798.75","93,795.00","330.25","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","30,172,759.40","0.16","30,172,759.40","103,915.00","290.36","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","29,798,567.00","0.15","29,798,567.00","306,412.00","97.25","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","29,596,987.50","0.15","29,596,987.50","186,250.00","158.91","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","29,079,065.86","0.15","29,079,065.86","349,466.00","83.21","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","28,986,072.16","0.15","28,986,072.16","26,734.00","1,084.24","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","28,851,223.17","0.15","28,851,223.17","59,983.00","480.99","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","28,002,810.90","0.14","28,002,810.90","33,301.00","840.90","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","27,761,473.48","0.14","27,761,473.48","212,699.00","130.52","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","27,524,948.22","0.14","27,524,948.22","278,649.00","98.78","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","27,365,690.69","0.14","27,365,690.69","109,031.00","250.99","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","27,221,796.32","0.14","27,221,796.32","108,848.00","250.09","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","27,030,267.62","0.14","27,030,267.62","422,546.00","63.97","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","27,005,623.29","0.14","27,005,623.29","289,791.00","93.19","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","26,893,821.50","0.14","26,893,821.50","69,538.00","386.75","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","26,839,045.07","0.14","26,839,045.07","504,209.00","53.23","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","26,436,670.00","0.14","26,436,670.00","203,359.00","130.00","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","25,477,524.06","0.13","25,477,524.06","64,997.00","391.98","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","25,407,852.32","0.13","25,407,852.32","40,598.00","625.84","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","25,074,464.31","0.13","25,074,464.31","164,563.00","152.37","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","24,994,849.00","0.13","24,994,849.00","97,900.00","255.31","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","24,945,643.80","0.13","24,945,643.80","37,532.00","664.65","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","24,699,308.04","0.13","24,699,308.04","79,871.00","309.24","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","24,695,017.22","0.13","24,695,017.22","109,702.00","225.11","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","24,660,870.00","0.13","24,660,870.00","333,255.00","74.00","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","24,484,612.80","0.13","24,484,612.80","391,128.00","62.60","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","24,471,474.30","0.13","24,471,474.30","141,765.00","172.62","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","24,426,893.76","0.13","24,426,893.76","74,874.00","326.24","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","24,418,657.64","0.13","24,418,657.64","91,094.00","268.06","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","24,411,511.24","0.13","24,411,511.24","166,076.00","146.99","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","24,298,615.00","0.13","24,298,615.00","80,326.00","302.50","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","24,152,905.00","0.12","24,152,905.00","101,164.00","238.75","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","24,033,060.00","0.12","24,033,060.00","87,600.00","274.35","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","23,910,531.75","0.12","23,910,531.75","166,775.00","143.37","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","23,827,167.63","0.12","23,827,167.63","132,307.00","180.09","United States","NASDAQ","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","23,667,722.26","0.12","23,667,722.26","130,949.00","180.74","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","23,275,853.51","0.12","23,275,853.51","202,769.00","114.79","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","22,655,788.90","0.12","22,655,788.90","109,570.00","206.77","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","22,567,211.42","0.12","22,567,211.42","152,543.00","147.94","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","22,554,861.70","0.12","22,554,861.70","86,038.00","262.15","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","22,475,266.09","0.12","22,475,266.09","22,475,266.00","1.00","United States","-","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","22,291,072.86","0.11","22,291,072.86","57,561.00","387.26","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","22,263,480.64","0.11","22,263,480.64","58,948.00","377.68","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","22,245,367.15","0.11","22,245,367.15","152,585.00","145.79","United States","NYSE","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","22,174,493.46","0.11","22,174,493.46","59,222.00","374.43","United States","NASDAQ","USD","1.00","USD","-"
